Sl. No.,Day,Date,Team1,Team2
1,Sat,19-Sep,MI,CSK
2,Sun,20-Sep,DC,KXIP
3,Mon,21-Sep,SRH,RCB
4,Tue,22-Sep,RR,CSK
5,Wed,23-Sep,KKR,MI
6,Thu,24-Sep,KXIP,RCB
7,Fri,25-Sep,CSK,DC
8,Sat,26-Sep,KKR,SRH
9,Sun,27-Sep,RR,KXIP
10,Mon,28-Sep,RCB,MI
11,Tue,29-Sep,DC,SRH
12,Wed,30-Sep,RR,KKR
13,Thu,01-Oct,KXIP,MI
14,Fri,02-Oct,CSK,SRH
15,Sat,03-Oct,RCB,RR
16,Sat,03-Oct,DC,KKR
17,Sun,04-Oct,MI,SRH
19,Mon,05-Oct,RCB,DC
20,Tue,06-Oct,MI,RR
21,Wed,07-Oct,KKR,CSK
22,Thu,08-Oct,SRH,KXIP
23,Fri,09-Oct,RR,DC
24,Sat,10-Oct,KXIP,KKR
25,Sat,10-Oct,CSK,RCB
26,Sun,11-Oct,SRH,RR
27,Sun,11-Oct,MI,DC
28,Mon,12-Oct,RCB,KKR
29,Tue,13-Oct,SRH,CSK
30,Wed,14-Oct,DC,RR
31,Thu,15-Oct,RCB,KXIP
32,Fri,16-Oct,MI,KKR
33,Sat,17-Oct,RR,RCB
34,Sat,17-Oct,DC,CSK
35,Sun,18-Oct,SRH,KKR
36,Sun,18-Oct,MI,KXIP
37,Mon,19-Oct,CSK,RR
38,Tue,20-Oct,KXIP,DC
39,Wed,21-Oct,KKR,RCB
40,Thu,22-Oct,RR,SRH
41,Fri,23-Oct,CSK,MI
42,Sat,24-Oct,KKR,DC
43,Sat,24-Oct,KXIP,SRH
44,Sun,25-Oct,RCB,CSK
45,Sun,25-Oct,RR,MI
46,Mon,26-Oct,KKR,KXIP
47,Tue,27-Oct,SRH,DC
48,Wed,28-Oct,MI,RCB
49,Thu,29-Oct,CSK,KKR
50,Fri,30-Oct,KXIP,RR
51,Sat,31-Oct,DC,MI
52,Sat,31-Oct,RCB,SRH
53,Sun,01-Nov,CSK,KXIP
54,Sun,01-Nov,KKR,RR
55,Mon,02-Nov,DC,RCB
56,Tue,03-Nov,SRH,MI
